1	673	39
2	673	8
3	307	15
4	307	17
5	673	9
6	673	5
7	673	9
8	148	31
9	148	17
10	148	14
4	148	31
13	664	2
14	664	18
15	664	2
16	713	9
17	713	10
18	713	9
19	713	10
20	713	14
21	713	12
22	713	11
23	713	8
24	713	8
25	713	16
26	713	9
3	311	32
4	311	37
31	826	41
1	937	4
33	937	3
22	178	5
35	178	14
36	178	6
37	227	4
38	227	4
39	1123	2
41	1123	6
14	148	22
42	227	5
43	227	5
44	87	2
45	87	3
46	87	4
3	148	15
18	890	3
47	949	3
19	677	2
5	668	2
51	728	2
33	673	31
7	823	3
52	826	6
56	148	31
22	890	4
51	1008	2
59	199	11
60	199	14
9	805	2
14	724	6
61	724	2
62	724	4
63	724	4
64	724	3
65	724	3
66	724	2
67	724	2
39	178	4
68	178	11
69	178	26
71	840	2
27	664	3
100	673	3
76	1029	6
28	673	7
29	673	7
105	673	3
4	90	16
47	1039	10
106	1039	21
5	1039	11
26	758	3
109	758	3
14	758	10
65	758	5
111	758	2
112	758	10
113	758	3
48	758	14
116	758	3
117	758	2
124	758	2
13	360	10
1	360	3
125	360	2
127	360	5
5	360	5
81	360	2
133	664	2
27	673	5
135	673	4
21	903	4
106	903	10
13	526	11
136	532	2
137	357	2
9	565	2
10	565	2
47	565	7
138	565	5
139	565	4
16	199	2
17	199	2
18	199	2
19	199	2
20	199	3
21	199	3
23	199	2
24	199	2
26	199	3
140	199	2
141	199	2
19	685	2
33	178	6
34	178	4
52	178	12
144	178	11
37	581	4
38	581	4
42	581	5
43	581	5
66	723	3
67	723	2
33	683	2
149	158	2
13	768	4
102	679	3
150	183	2
151	183	2
31	183	16
14	183	9
48	183	10
5	183	2
133	183	3
153	495	2
155	1075	6
3	677	4
6	677	7
127	178	64
14	723	15
62	723	9
63	723	8
64	723	2
156	723	4
46	958	2
157	1151	5
158	1151	5
110	148	12
57	148	18
162	148	2
163	148	2
128	148	4
129	148	6
170	148	2
172	148	3
27	677	3
104	677	3
30	677	2
181	199	3
47	199	2
62	199	3
184	199	2
186	199	2
102	199	2
69	311	21
190	183	3
27	148	8
19	979	4
13	811	14
127	713	41
66	791	2
31	546	6
157	477	2
158	477	2
13	713	16
4	713	20
192	713	3
193	979	3
194	979	13
106	979	15
195	477	6
127	148	106
66	148	3
67	148	3
14	1097	4
4	1097	2
14	412	5
65	412	7
151	673	4
62	673	3
65	673	4
198	713	3
178	148	12
65	1097	2
200	526	5
110	55	6
206	55	3
207	55	2
127	664	14
32	792	3
5	792	6
208	792	2
6	908	3
96	679	2
22	1012	3
194	758	13
2	758	4
106	357	6
5	357	4
19	335	2
212	772	2
31	1051	2
209	124	5
2	526	4
213	148	12
127	1018	2
6	445	2
215	1088	12
130	792	3
72	6	2
106	360	7
31	360	5
209	79	4
5	677	5
217	171	2
214	90	4
4	327	2
100	1018	3
13	90	33
106	1090	4
106	55	13
31	357	4
224	526	2
3	865	6
225	865	3
146	497	3
156	477	4
13	357	13
1	357	3
133	10	2
226	1088	5
227	679	3
106	1075	4
48	979	28
228	979	2
96	677	3
60	148	43
72	148	16
57	90	3
62	711	2
13	327	10
234	90	3
155	357	13
221	1097	3
68	642	2
236	664	2
31	445	2
13	231	11
133	526	3
47	673	7
31	811	6
239	1167	9
61	669	2
242	178	2
239	811	2
159	811	6
56	958	2
14	811	2
48	311	14
13	958	3
227	1097	2
59	908	2
32	1097	2
100	1097	2
127	647	4
205	365	3
47	679	2
13	979	8
1	979	10
256	979	2
205	285	2
6	365	3
138	360	3
6	360	4
216	360	2
53	908	2
260	908	6
57	569	2
58	569	2
106	769	2
106	116	4
31	116	5
14	1018	4
268	1018	2
62	1018	3
63	1018	3
65	1018	2
269	1018	2
270	673	2
127	794	2
5	890	2
39	677	2
279	677	3
59	890	14
107	890	17
68	890	12
60	890	20
156	890	2
146	890	6
127	890	13
112	890	13
280	979	6
42	578	2
43	578	2
31	578	10
283	578	4
153	791	2
146	1151	3
127	1151	7
9	890	4
10	890	2
40	890	7
142	890	3
143	890	3
225	890	3
146	519	3
31	903	19
242	664	2
199	664	3
3	412	4
31	896	3
127	896	3
72	896	3
31	1088	9
57	1039	2
81	1039	2
6	311	16
66	311	6
67	311	4
221	1080	7
150	477	14
14	477	14
31	673	20
69	673	14
286	812	2
242	716	2
227	673	2
214	673	3
202	713	3
290	713	3
14	327	6
199	327	5
48	198	2
4	19	3
55	19	2
72	90	7
48	90	18
56	90	13
6	1033	6
292	826	2
183	826	2
184	826	5
293	826	2
185	826	2
288	826	2
294	826	7
101	826	8
268	664	5
62	664	7
63	664	6
100	908	2
141	908	2
135	908	2
105	908	2
7	908	3
178	908	3
37	798	2
38	798	2
42	798	2
43	798	2
41	679	2
31	679	3
14	679	4
62	679	2
65	679	2
16	805	2
17	805	2
18	805	2
226	545	18
5	672	3
69	1029	4
149	90	3
39	90	3
296	792	12
6	1143	4
13	908	3
54	908	2
142	908	2
143	908	2
13	183	15
56	183	4
127	546	2
127	1076	11
25	1029	2
14	1029	2
213	1029	7
66	1029	2
226	178	74
145	178	10
5	178	14
140	178	4
141	178	4
133	178	11
47	792	2
303	55	3
104	55	5
6	55	4
135	55	4
105	55	2
212	55	2
304	55	2
305	55	2
48	148	36
222	479	2
5	664	5
59	979	21
155	979	19
306	811	4
33	148	4
34	148	3
240	148	10
75	148	2
308	1039	2
309	1039	2
310	148	3
311	148	2
116	148	4
20	545	2
226	148	6
155	148	13
226	696	12
1	664	12
48	477	11
273	477	2
100	669	2
226	1039	6
1	1039	3
126	811	2
5	811	3
31	425	2
95	410	2
31	526	6
14	730	4
