1924	294	6
1905	1217	5
2462	4	30
3361	1219	3
6088	200	4
6088	405	4
6089	1223	2
6089	1224	2
1574	53	15
1574	19	13
1574	20	2
1470	127	15
899	518	2
977	493	2
2460	53	4
2460	19	4
2460	20	4
2460	22	4
2460	26	2
2745	216	3
1905	40	4
2462	146	7
6093	19	6
905	127	6
1574	59	8
1574	349	9
1574	107	13
1905	217	7
2781	1237	3
919	136	2
2769	216	4
3370	680	2
5754	172	3
2745	1238	4
2229	308	2
1905	114	6
6094	423	2
2920	543	2
1912	1239	5
6095	196	2
5344	226	2
2944	69	3
5344	2	4
1909	1240	7
1574	46	2
2745	1241	4
6097	65	2
6098	1242	2
6098	1243	2
2745	4	12
1907	54	2
6099	109	2
2745	232	6
3370	1244	2
1470	48	3
3880	181	2
6101	205	2
5346	3	8
1000	395	3
3882	1250	2
5381	227	2
3370	196	7
1416	156	2
1574	289	7
917	214	3
6102	1252	4
6102	1253	4
6102	1254	4
917	340	2
3706	1230	2
2769	1255	4
3855	181	5
5381	321	2
2745	1223	2
2745	1256	3
5344	232	4
6103	1257	2
1574	30	2
6104	1258	2
1905	391	2
3880	196	2
2608	107	3
5381	239	2
6106	194	2
1906	470	2
1000	218	2
2769	62	2
3370	136	2
3370	46	7
3712	192	2
3616	1265	2
3616	1266	2
3880	1267	2
6107	44	2
3370	68	6
3370	60	5
2745	156	3
2944	1269	2
6110	159	2
2241	582	2
2769	112	7
1924	1270	4
1924	1271	4
1924	1272	4
6111	280	3
2745	262	4
2745	114	4
2745	425	2
1574	68	6
1574	60	6
5344	57	4
6112	338	2
6112	493	2
1905	69	12
1470	376	2
6113	224	6
1574	423	10
1000	1274	8
6114	349	4
6056	107	2
6056	68	2
6056	60	2
6056	59	2
6056	108	2
3709	1275	2
3709	1276	2
3880	216	4
3741	1263	5
3880	1248	8
1574	666	23
2745	58	2
5381	267	4
3395	325	9
2745	31	2
1905	209	9
1574	1218	8
6115	178	4
3719	429	2
6116	280	2
1470	208	3
1384	296	3
1384	1265	3
3370	213	5
1470	1277	2
1470	1278	2
1470	53	2
1470	1279	2
1924	101	4
1912	233	5
3731	155	2
3370	106	6
2745	60	7
2155	389	2
5355	1220	3
2745	325	10
3263	1032	2
1906	65	2
1906	109	2
1906	194	2
1574	1280	3
2745	155	3
2781	47	7
2769	214	3
5381	262	5
6117	154	4
6118	194	4
1905	112	2
2745	1281	2
2745	240	3
2745	100	8
1574	6	6
6121	205	2
2142	1282	3
6123	57	2
6124	1204	4
3623	53	7
2745	226	2
1905	1283	2
2745	1284	2
6127	1285	2
6129	69	2
1574	1260	11
2944	1288	4
1924	1289	5
6130	509	4
6131	1290	2
2231	706	2
2769	233	3
1905	59	3
1574	1292	4
1574	746	2
1905	1293	4
1905	1265	2
1574	172	4
1904	1294	3
1462	339	3
1419	1254	6
6132	31	2
2798	176	13
6133	1264	2
1470	56	3
2462	1300	3
2462	1301	3
2462	1279	3
2462	1302	3
2462	1303	3
2462	1304	3
1905	44	8
5381	443	3
3880	625	2
1461	1306	3
1924	107	2
1905	260	3
3880	1307	3
5350	69	2
5381	1309	3
3880	205	3
5344	1310	7
3882	12	3
2944	1311	2
917	53	4
917	19	4
917	20	4
917	22	4
2745	239	2
5344	442	2
1574	150	2
6140	904	2
6142	349	4
6095	35	2
805	60	12
839	349	2
905	227	4
905	1316	4
913	186	2
989	178	3
989	54	3
989	55	3
989	74	3
989	290	3
1000	4	2
1050	1318	2
1050	760	2
1079	33	17
6145	641	2
1418	1316	2
1467	407	2
1574	14	2
1574	110	3
1580	1322	2
1592	1323	2
1905	1325	2
1905	1327	2
1907	90	2
1912	1293	2
6114	1329	2
2324	884	3
805	107	9
805	68	9
2729	155	4
2745	194	5
2745	1248	2
2745	215	10
2745	14	2
2745	65	2
2769	127	6
2787	149	2
2787	194	2
2908	1216	2
2931	1340	2
2944	346	2
2944	1239	3
2944	455	4
2944	1256	6
3260	1292	3
3370	206	3
3374	1347	4
3706	1248	2
3709	251	2
3710	4	3
3712	1151	3
3721	907	2
3731	107	2
3880	4	4
3880	7	2
3882	307	3
5344	13	4
5344	209	2
5344	1227	2
5344	61	2
5381	1353	2
5381	303	4
6055	1314	2
2174	429	3
6095	351	2
6095	53	2
917	1274	2
917	1357	3
917	1358	2
1000	808	5
1000	1359	3
1470	1361	3
1470	291	2
1470	146	2
1519	1285	3
1574	62	2
1574	255	3
1574	1226	3
1574	127	6
6164	486	3
1905	760	4
1905	1292	9
1912	215	4
6147	1364	2
1924	226	5
6114	1308	2
2157	216	3
2157	337	3
2178	1257	2
2188	1366	3
2192	213	2
2729	60	4
2745	113	4
2745	263	3
2745	1369	3
2769	58	3
2769	195	2
2795	137	2
2944	262	3
2944	110	2
2944	1373	4
849	41	2
6169	310	2
6169	69	2
3277	1374	2
3370	1275	2
3370	1323	3
3370	107	4
2462	1248	4
3616	226	4
3706	4	2
3706	213	3
3711	637	2
3711	59	2
3719	1314	2
3720	1263	2
3721	176	2
